Gene_ID	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000003509.11	37	25	42	25	4695	5727	4300	3572	4926	4008
ENSG00000003756.12	129	85	108	80	20482	26382	19947	15796	22450	19017
ENSG00000003987.9	0	1	0	0	486	572	414	290	437	345
ENSG00000003989.12	0	0	0	0	0	0	0	0	0	0
ENSG00000004059.5	377	244	445	364	21557	29089	19916	16542	22375	18753
ENSG00000004139.9	19	13	6	12	1208	1604	1215	952	1257	1326
ENSG00000004399.8	10	6	16	4	1920	2501	2054	1494	2055	1671
ENSG00000004455.12	71	70	83	61	48557	62109	46020	34969	52699	43492
ENSG00000004468.7	137	99	141	101	4234	5572	4616	3106	4593	3973
ENSG00000004478.5	299	229	267	289	43141	55492	39766	31546	47525	39176
ENSG00000004487.10	512	358	398	403	39310	49731	36945	29018	41780	34972
ENSG00000004534.9	271	198	261	273	29851	38285	28711	23195	32635	27151
ENSG00000004660.10	3	0	3	3	1023	1252	892	869	1123	978
ENSG00000004700.11	191	177	199	169	13858	17041	13818	9718	15519	12676
ENSG00000004766.11	36	27	62	51	3871	4516	3785	2823	4054	3515
ENSG00000004776.7	0	0	0	0	31	51	14	17	21	29
ENSG00000004777.11	58	22	25	25	8810	13748	8521	8406	8483	8579
ENSG00000004779.5	641	473	624	527	20056	25745	18680	14905	21655	17414
ENSG00000004799.7	0	0	0	0	0	0	0	0	0	0
ENSG00000004809.9	0	0	0	0	0	0	0	0	0	0
ENSG00000004838.9	0	4	3	2	120	130	102	111	131	111
ENSG00000004846.12	0	0	0	0	0	1	0	0	0	0
ENSG00000004848.6	0	0	0	0	2	0	5	0	2	0
ENSG00000004864.8	46	13	33	25	3357	4436	3218	2448	3859	3304
ENSG00000004866.13	3	2	1	5	431	526	409	247	476	405
ENSG00000004897.6	62	43	84	74	23853	29962	23930	17651	26111	20931
ENSG00000004939.9	0	0	0	0	0	0	1	0	0	0
ENSG00000004948.9	0	0	0	0	0	0	0	0	0	0
ENSG00000004961.10	93	54	63	70	4075	4951	3681	3108	4659	3647
ENSG00000004975.7	132	73	94	99	13170	17922	12358	10257	14646	12510
ENSG00000005001.4	0	0	0	0	0	0	0	0	1	0
ENSG00000005007.7	629	421	559	420	61291	79832	57705	48392	64147	57268
ENSG00000005020.8	0	0	0	0	0	3	1	1	4	0
ENSG00000005022.5	206	128	162	166	101437	130165	95819	74779	107880	91527
ENSG00000005059.11	221	138	229	194	19128	24429	17722	13613	20479	16613
ENSG00000005073.5	0	0	0	0	0	0	0	0	0	0
ENSG00000005075.11	39	34	22	40	6313	8370	5712	4863	6315	5695
ENSG00000005100.8	126	95	97	128	21306	27355	20709	16093	22262	18768
ENSG00000005102.8	0	0	0	0	0	0	0	0	0	0
ENSG00000005108.9	0	0	4	0	5	5	2	1	2	2
ENSG00000005156.7	132	105	118	127	13174	16988	12657	9787	14177	12040
ENSG00000005175.5	222	138	266	213	14452	17694	13684	9677	15449	12564
ENSG00000005187.7	0	0	0	0	565	731	559	412	547	410
ENSG00000005189.14	47	47	85	37	6012	7111	5598	3969	5919	5002
ENSG00000005194.10	50	32	56	57	15830	20122	14954	11430	17004	14516
ENSG00000005238.13	1	5	2	0	555	736	498	388	602	481
ENSG00000005243.5	0	0	0	0	1	4	4	6	13	8
ENSG00000005249.7	60	44	42	45	6035	7729	5832	4241	6444	5185
ENSG00000005302.12	43	23	18	21	7288	9275	7032	5458	7707	6416
ENSG00000005339.8	141	103	129	108	17589	23045	17125	14431	18859	17723
ENSG00000005379.11	49	40	41	24	10818	14796	10515	9851	11641	11066
ENSG00000005381.6	0	0	0	0	0	0	2	2	2	0
ENSG00000005421.4	19	10	14	18	990	1195	916	662	1060	725
ENSG00000005436.9	97	55	113	85	6452	8758	6329	4572	7350	5974
ENSG00000005448.12	77	30	53	44	3865	4923	3551	3077	3720	3420
ENSG00000005469.7	57	38	38	38	3054	4123	3121	2331	3339	2824
ENSG00000005471.11	0	0	0	0	14	10	9	7	18	11
ENSG00000005483.14	173	152	194	144	21074	26295	20687	16157	23201	19497
ENSG00000005486.11	129	70	112	113	10580	13697	9606	8156	10563	9680
ENSG00000005513.9	0	0	0	1	4	8	4	0	4	7
ENSG00000005700.10	66	52	90	52	13029	16429	13148	9534	14728	12203
ENSG00000005801.11	79	69	104	96	7933	9992	7681	6463	8773	7630
ENSG00000005810.12	179	129	159	179	31050	38922	33606	22363	34813	32340
ENSG00000005812.6	183	117	122	130	9242	12061	9170	7745	11448	9183
ENSG00000005844.12	103	70	121	98	14215	18795	13764	11446	14497	12840
ENSG00000005882.6	8	3	8	4	491	699	419	381	468	411
ENSG00000005884.13	6	0	0	0	2	5	5	6	8	5
ENSG00000005889.11	75	43	78	45	6531	8215	6574	4918	7260	6247
ENSG00000005893.11	364	211	374	240	15973	20185	15813	11014	17253	13234
ENSG00000005955.8	213	169	207	198	22910	28513	21711	17958	25837	21386
ENSG00000005961.13	0	0	0	0	7	28	13	8	35	21
ENSG00000005981.8	0	0	0	0	14	14	19	11	15	6
ENSG00000006007.7	58	49	71	63	9606	12703	9448	7358	10552	8519
ENSG00000006015.12	65	45	65	62	3613	5306	3653	3162	4214	3643
ENSG00000006016.5	3	1	0	2	27	50	16	12	22	12
ENSG00000006025.7	35	9	23	9	4300	5690	4091	3775	4112	4058
ENSG00000006042.6	0	0	0	1	0	1	0	0	0	0
ENSG00000006047.8	2	3	2	2	1042	1564	1178	914	1072	961
