geneIDs	disperRaw	disperRawConverge	disperFitted	disperAdj	disperAdjConverge	pval	padj	TEctl	TEtrt	log2FoldChangeTE	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000139620.8	0.00104828048791	Y	0.00129769779436	0.00124237875348	Y	0.0389634548361	0.159180100023	0.00701934309506	0.00858980158925	0.291288785498	174.0	150.0	163.0	230.0	23973.0	22443.0	22651.0	22808.0	22880.0	22862.0
ENSG00000133612.14	0.000921129028684	Y	0.00351116560857	0.00240286542514	Y	0.0389971488122	0.159180100023	0.00250141448565	0.00593160039621	1.24567727605	9.0	1.0	10.0	15.0	2005.0	2064.0	1965.0	2194.0	2028.0	2006.0
ENSG00000132661.3	0.000426111884502	Y	0.00135189044672	0.000914551285143	Y	0.0389808655474	0.159180100023	0.015663173356	0.0127781044432	-0.293702695166	126.0	132.0	101.0	124.0	8304.0	8405.0	8013.0	8716.0	8691.0	9034.0
ENSG00000144161.7	0.000385476245959	Y	0.00135403119441	0.000886090394442	Y	0.0391351376918	0.159556805054	0.0152071107647	0.018798916551	0.305903438587	108.0	105.0	127.0	137.0	7060.0	7024.0	6936.0	6981.0	7267.0	6830.0
ENSG00000151176.3	0.0011367617687	Y	0.00226307307391	0.0019362526621	Y	0.0391291614083	0.159556805054	0.0194970651556	0.012716848364	-0.616515805455	34.0	12.0	15.0	13.0	1126.0	1243.0	1235.0	1129.0	1088.0	1085.0
ENSG00000119139.11	0.000219685914008	Y	0.0022710935313	0.00141681013258	Y	0.0391270876487	0.159556805054	0.00837170597829	0.00511780667719	-0.709995992498	26.0	19.0	22.0	7.0	2725.0	2686.0	2677.0	2766.0	2951.0	2828.0
ENSG00000116717.7	0.00365800408303	Y	0.00400606914092	0.00389551799561	Y	0.0391706168706	0.159639315604	0.0158637512208	0.00644379465681	-1.29975153236	6.0	14.0	5.0	4.0	587.0	619.0	674.0	631.0	666.0	734.0
ENSG00000167986.9	0.000508452206788	Y	0.00120620799039	0.000817126980169	Y	0.0392406158071	0.159862392051	0.00933000163848	0.01036346063	0.151556597466	923.0	883.0	968.0	1024.0	96471.0	95765.0	98198.0	92889.0	96876.0	98487.0
ENSG00000102034.12	0.00161684411034	Y	0.00151386657171	0.00155502377942	Y	0.0392872287097	0.159865747283	0.00854324615169	0.00626211124852	-0.448135211868	65.0	75.0	65.0	41.0	8318.0	8301.0	7962.0	8914.0	8128.0	8189.0
ENSG00000164114.14	0.00742973475265	Y	0.00291891919304	0.00422194711373	Y	0.0392629134695	0.159865747283	0.00714799742664	0.0143782279565	1.00827486179	9.0	7.0	7.0	23.0	1113.0	1029.0	1276.0	1005.0	1077.0	1073.0
